actual_risk_class,actual_severity_ratio,boundary_case,case_index,contact_fraction,contact_loss_count,damping_n_s_per_m,effective_mass_kg,future_contact_loss_proxy,future_hold_settling_time_s,future_late_hold_oscillation_rms_m,future_peak_displacement_m,future_peak_velocity_m_per_s,future_realized_sustained_force_rms_error_n,minimum_actuator_reserve,motor_saturation_fraction,peak_angular_rate_rad_s,peak_attitude_deg,peak_contact_force_n,peak_contact_torque_nm,peak_penetration_m,peak_target_acceleration_m_per_s2,peak_target_displacement_m,peak_target_velocity_m_per_s,perturbation,perturbation_value,probe_cross_correlation_lag_s,probe_delivery_bandwidth_hz,probe_peak_tracking_error_n,probe_relative_rms_tracking_error,probe_rms_tracking_error_n,probe_weighted_phase_lag_rad,seed,stiffness_n_per_m,stratum,trial_id
SAFE,0.24446498524872434,False,0,0.21292902365878041,6.0,12.0,1.2,False,0.05500000000000005,5.95453519888845e-09,0.0011792779880541939,0.02933579822984692,0.35183227031113135,0.7250296449917693,0.0,0.15540455877048903,1.7303312553182084,2.613518618445364,0.21686970687294382,0.0005153176288634628,1.8986873110964628,0.0010078885461369798,0.033754208023152744,nominal,1.0,0.13,2.665778073975342,2.613518618445364,1.6931922220091618,0.44388409952130126,-0.6985596244451325,13000,2200.0,representative,representative_stiff
UNSAFE,2.76560745882569,False,1,0.37054315228257245,16.0,3.0,1.2,True,3.0,0.0033304749786420003,0.03318728950590828,0.10287040629663355,0.42598102693608236,0.7407439102640756,0.0,0.2182808245931751,1.8853297196680556,1.627917201790585,0.1300107647742617,0.0003205642307649646,1.1068055073145742,0.007667469490000757,0.04711443581012804,nominal,1.0,0.243,4.665111629456848,1.2617571546990116,1.2317831290902723,0.3229219564999914,2.9480863120496474,13000,90.0,representative,representative_compliant
UNSAFE,2.062471792606632,False,2,0.15928023992002666,8.0,0.5,1.0,False,3.0,0.0030937076889099475,0.00845832415034169,0.057113070408787006,0.7159630360396763,0.7165888435926759,0.0,0.19342311445599766,1.8543081744962289,2.9943050056141036,0.23867283025751124,0.0005888261529974335,3.270846354228029,0.0029540260344143943,0.06383175273387284,nominal,1.0,0.134,0.0,2.9943050056141036,1.7986473824275584,0.4715300267312959,-1.7583942308861948,13000,450.0,representative,representative_lightly_damped
SAFE,0.37225773914827043,False,3,0.30989670109963346,7.0,55.0,1.0,False,0.546,5.243738000875942e-07,0.004467092869779245,0.02570362578586065,0.3589544022585894,0.7238321427156801,0.0,0.16484084707989552,1.6863432993397505,2.75370188031056,0.22699845479857356,0.0005436147277269119,1.7233873475276498,0.0012077887641981449,0.03093594467700436,nominal,1.0,0.226,0.0,2.75370188031056,1.46683559315374,0.3845428699407991,-0.4343898567937198,13000,450.0,representative,representative_highly_damped
SAFE,0.8240000000000001,True,4,0.2262579140286571,4.0,8.0,0.12,False,1.6480000000000001,6.262581107267014e-05,0.0059162252931700635,0.04575444282440203,0.3975233823361696,0.7440623205544848,0.0,0.18081779581148427,1.65839050477682,1.3110207102225833,0.10546624219058949,0.00024534806700344223,8.519853297986197,0.002376230556215831,0.06911883928075982,nominal,1.0,0.194,1.9993335554815064,1.1134253446800975,1.2780173019030954,0.3350426205919749,2.630483519707759,13000,450.0,representative,representative_low_mass
UNSAFE,1.5,False,5,0.20359880039986672,7.0,8.0,5.5,False,3.0,0.00111246252221798,0.007663021190127422,0.029683422929708738,0.38835907367545935,0.7215259093946224,0.0,0.16818630726037756,1.6785303346461338,3.3150824651210193,0.26806796295139274,0.0006567116512165821,0.48814263496735694,0.002415834999027972,0.019580226919541456,nominal,1.0,-0.055,2.665778073975342,3.0957252928581247,1.680164204273452,0.44046869880897044,0.394574385011354,13000,450.0,representative,representative_high_mass
UNSAFE,3.4522660907925635,False,6,0.2559146951016328,9.0,2.0,2.5,True,3.0,0.005178399136188845,0.020283491746611215,0.06771455804831174,0.3941512707388289,0.7376135012866637,0.0,0.19631475692157577,1.7318882276072352,1.7396004034491628,0.13795475565134488,0.00034383862856036474,0.48965961313741035,0.0049341999492089955,0.03491080279746732,nominal,1.0,0.181,0.0,1.5790694376266667,1.3628174342834665,0.35727366436341534,2.8243250701468856,13000,170.0,representative,representative_boundary
UNSAFE,18.068721031349057,False,0,0.3822059313562146,7.0,0.3,0.1,True,3.0,0.027103081547023587,0.07127238494717536,0.48764455947648394,1.3389029263557934,0.7364657242329714,0.0,0.28373472196482935,2.893186884505279,1.7669475332666535,0.13961543710999677,0.0003150384821417748,18.047871536249687,0.011141936038466131,0.11510404657812806,nominal,1.0,0.25,0.0,1.7669475332666535,1.3289932376161284,0.3484063763588101,-0.15560837135798672,13001,75.0,structured_grid,grid_000
UNSAFE,10.804966607134714,False,1,0.22292569143618793,7.0,0.3,0.7745966692414834,True,3.0,0.01620744991070207,0.04623971107463335,0.17088950213592477,0.5679982832677586,0.6894047008852147,0.0,0.25115511534540563,2.2367139595389838,4.9942176886364305,0.4028749706142552,0.0009784111288141648,6.245964132509242,0.010145863299344639,0.07269521933650605,nominal,1.0,0.158,0.0,4.9942176886364305,2.032384658623186,0.5328061529856111,2.07362968163454,13001,75.0,structured_grid,grid_001
UNSAFE,4.1153529319296105,False,2,0.18527157614128623,8.0,0.3,6.0,True,3.0,0.006173029397894415,0.04296338907819348,0.07606580267546943,0.3976146471297548,0.713000359566512,0.0,0.1685782259657134,1.6705716340636672,3.2154051331870246,0.2728077653336822,0.0006373684143124729,0.49961374907337763,0.006223230972725763,0.018600883838606443,nominal,1.0,0.23800000000000002,3.9986671109630127,3.2154051331870246,1.6683826834802864,0.4373800773988979,1.7487421233582954,13001,75.0,structured_grid,grid_002
